var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99184835,,,,,,,,,,0.9224161,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989905,,,,,,,,,,0.75341564,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99771607,,,,,,,,,,0.9471904,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.80469203,,0.93920225,,,,,,,,,,,,,,,,,,,,,,,,0.55451006,,,,,,0.90158224,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9984816,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5398682,,,,,,,,,,,,,,,,,,,,0.995917,,,,,,,,,,0.60462534,,0.46399698,,0.32141617,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3915688,,,,,,0.5179491,,,,,,,,,,,,,,,,,,,,,,,0.9386981,0.40727064,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7875278,,,,,,,,,,,,,,,,,,,,,,,,0.954773,,0.36596406,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8742901,,,,,,,,,,,,,,,,,0.98862165,,0.74499613,,,,,,,,,,0.99378705,,,,0.9422553,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98952824,,,,,,,,,,0.9245311,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45540512,,,,,,0.97354424,,,,,,,,,,,,,,,,,,,,,,,0.41226462,,,,0.9963934,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34773108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5833357,,,0.31902307,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8889413,,,,,,,,,,,,,,,,,,,0.70522493,,,0.9967669,,,,,,,,,,0.96220976,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98040843,,,,,,,,,,0.9099971,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9988908,,,0.95756274,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94047654,,,,,,,,,,0.9494189,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99811625,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45699435,,,,,,,,,,,,,,,,,,,,,,,0.9910452,0.95851576,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9869796,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9782817,,,,,,,,,,,,,0.8300713,0.99698347,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8407535,,,,,,,,,,0.8269915,,0.56186134,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52367514,0.3158666,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9977756,0.98380995,,0.9233003,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94787806,,,,,,,,,,0.6238333,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6319123,,,,,0.9969892,,,,,,,,,,,,,,0.36243352,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8166664,,,,,,,,,1
0.8668817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36857405,0.45232296,,,,,0.5439443,,,,,,,,,,,0.920908,,0.5598562,,0.6584686,,,,,,,,,,,,0.5975502,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56277657,0.50328255,,,,,0.86126804,,,,,,,,,,,0.98903054,,,,,,,,,,,,0.98775476,0.9425371,,0.4167443,,,0.69152284,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5747597,,,,,,,,,,,,,,,,,,,,,,0.70426685,,,,,,,,,,0.8624542,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87763625,,,,,,0.55074716,,,,,,,,,,,,,,,,,0.47846842,,,,0.73609775,,,0.8826765,,,0.9983444,0.41780937,0.93029505,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57174706,,,,,,,,,,,,,,,,,,,,,,0.98826444,,,,,,,,,,0.94857264,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47080353,,0.43826905,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87284595,,,0.58296865,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65546185,,,,,,,,,,,,,,,,,,,,,,0.9979153,,,,,,,,,,0.95338285,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8272977,,,,,,,,,,,,,,,,,0.92393863,,,,,,,,,,0.98953164,0.9920407,,0.9230174,0.93521833,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8416584,,,,0.7413018,,,,,,,,0.38110277,0.61504483,,,0.88087314,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9850557,,,,,,,,0
0.3955974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66505396,,,,,,,,,,,,,,,0.9912719,,,,,,,,,,,,0.9231862,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7855561,,,,,,,,,,,,,,,,,,,,,,0.7909102,,,,,,,,,,0.8676276,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9527302,,0.6081216,,,,,,,,,,,,,,,,,,,,0.99796367,,,,,,,,,,0.90043104,,,,,,,,,1
,,,,,,,,,,,,,,0.37591812,,,,,,,,,,,,,,,,,,,,,,,,,0.5959988,,,,,,,,,,,,,,,,,,,,,,0.9972676,,,,,,,,,,0.42210397,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30864713,,,,,,,,,,,,,,,,,,,,0.9922036,,,,,,,,,,0.95024455,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9779454,,,,,,0.3342133,,,,,,,0.55151844,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7221528,,0.97246087,,,0.989331,,,,,,,,,,,,,,0.4005213,,,,,1
